seed,method,horizon,calibration_horizon,weight_relative_mse,kernel_relative_mse,rollout_relative_mse,tail_rollout_relative_mse,max_radius,unstable_modes,operator_file_bytes,shared_projection_bytes,total_deployed_bytes,fit_elapsed_s,peak_cuda_bytes
0,phase_memory,512,128,1.302868354780504,1.286044468049362,1.1647328484328534,1.2254876926916913,0.999886453151703,0,304,4096,4400,0.2424931526184082,43384832
1,fp32,64,128,0.0,0.0,0.0,0.0,0.9998933601455421,0,524,4096,4620,0.0002789497375488281,34926080
1,fp32,128,128,0.0,0.0,0.0,0.0,0.9998933601455421,0,524,4096,4620,0.0002789497375488281,36032512
1,fp32,256,128,0.0,0.0,0.0,0.0,0.9998933601455421,0,524,4096,4620,0.0002789497375488281,38482944
1,fp32,512,128,0.0,0.0,0.0,0.0,0.9998933601455421,0,524,4096,4620,0.0002789497375488281,43383808
1,cartesian_nearest,64,128,0.06789465685657428,4.71025062278637e+16,2284386406747878.5,3152357032927760.5,1.4140464079719008,64,304,4096,4400,0.0007772445678710938,36746240
1,cartesian_nearest,128,128,0.06789465685657428,4.1249212917406e+35,8.503902440652694e+33,1.2044689180664294e+34,1.4140464079719008,64,304,4096,4400,0.0007772445678710938,36746240
1,cartesian_nearest,256,128,0.06789465685657428,6.06460425373524e+73,5.986488486941397e+71,8.440854502433006e+71,1.4140464079719008,64,304,4096,4400,0.0007772445678710938,38483968
1,cartesian_nearest,512,128,0.06789465685657428,2.9238319487053768e+150,1.7333385413333162e+148,2.5313533453899975e+148,1.4140464079719008,64,304,4096,4400,0.0007772445678710938,43384832
1,cartesian_weight,64,128,0.04300660383126512,29461940.95838637,2579520.8396436144,3559551.3748343997,1.1860660398631289,18,304,4096,4400,0.14633846282958984,36747264
1,cartesian_weight,128,128,0.04300660383126512,4.201404075266317e+16,1436854946884347.0,2035121092500141.2,1.1860660398631289,18,304,4096,4400,0.14633846282958984,36747264
1,cartesian_weight,256,128,0.04300660383126512,1.7464971252811014e+35,3.0034600150043804e+33,4.234831328219909e+33,1.1860660398631289,18,304,4096,4400,0.14633846282958984,38483968
1,cartesian_weight,512,128,0.04300660383126512,6.866216634981766e+72,7.640431672398386e+70,1.1158023555670884e+71,1.1860660398631289,18,304,4096,4400,0.14633846282958984,43384832
1,cartesian_memory,64,128,2.420522474315376,123884241895236.0,9134153335503.143,12604746868369.127,1.3686968867188074,64,304,4096,4400,0.24909496307373047,38998528
1,cartesian_memory,128,128,2.420522474315376,1.2233113784130565e+31,3.717347166889298e+29,5.265146385941849e+29,1.3686968867188074,64,304,4096,4400,0.24909496307373047,38998528
1,cartesian_memory,256,128,2.420522474315376,8.13511235720485e+65,1.1121147161993838e+64,1.5680642383143812e+64,1.3686968867188074,64,304,4096,4400,0.24909496307373047,38998528
1,cartesian_memory,512,128,2.420522474315376,4.9474200884074215e+135,2.894910893101111e+133,4.227704051523932e+133,1.3686968867188074,64,304,4096,4400,0.24909496307373047,43384832
1,cartesian_normalized_memory,64,128,1.1407026374795677,1.0796280224996595,0.982453361391671,1.032964200604138,0.9998933672904966,0,304,4096,4400,0.25615358352661133,38998528
1,cartesian_normalized_memory,128,128,1.1407026374795677,1.1304322591536407,1.0803499908010126,1.1202328097721495,0.9998933672904966,0,304,4096,4400,0.25615358352661133,38998528
1,cartesian_normalized_memory,256,128,1.1407026374795677,1.3039806342720168,1.2094471744897461,1.2438605240452074,0.9998933672904966,0,304,4096,4400,0.25615358352661133,38998528
1,cartesian_normalized_memory,512,128,1.1407026374795677,1.4607978134900925,1.3663523583309893,1.449388031069809,0.9998933672904966,0,304,4096,4400,0.25615358352661133,43384832
1,phase_nearest,64,128,0.01465453926437276,1.2752747309062646,1.0978653752771812,1.2137589720772177,0.9998933672904968,0,304,4096,4400,0.0007348060607910156,36747264
